,,BTU5,,,CP1,,,BTU1,,,BTU2,,,BTU3,,,,,,,,,,,BTU4,,,,,,,,,,,P-HP4,,,,HEX-1,,,Hybrid Switch,,
Day,Hour,EWT,F1,T1,EWT,Flow,T2,EWT,Flow,T3,EWT,Flow,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,EWT,Flow,Heating Load,COP,HE,Heating DeltaT,Cooling Load,EER,HR,Cooling DeltaT,LWT,Ambient Temp,EWT,Flow,LWT,EWT,Flow,LWT,EWT,Flow,LWT
1,1,50.00,570.00,50.80,50.00,0.00,50.00,50.00,0.00,78.00,50.00,570.00,50.29,50.29,364.80,-309406.48,4.17,-235270.08,-1.39,363031.78,25.22,412147.93,2.44,51.34,50.29,205.20,-47452.99,4.17,-36082.85,-0.38,55677.38,25.22,63210.22,0.67,50.57,33.00,50.00,0.00,50.00,50.00,0.00,50.00,50.29,205.20,50.29
1,2,51.06,570.00,51.28,50.00,0.00,50.00,50.00,0.00,78.00,50.80,570.00,51.09,51.09,364.80,-380904.06,4.22,-290583.21,-1.72,354349.57,24.97,402762.65,2.38,51.75,51.09,205.20,-58418.41,4.22,-44566.10,-0.47,54345.81,24.97,61770.82,0.65,51.27,34.00,50.00,0.00,50.00,50.00,0.00,50.00,51.09,205.20,51.09
1,3,51.58,783.68,51.65,50.00,0.00,50.00,50.00,0.00,78.00,51.28,783.68,51.59,51.59,501.55,-2237469.72,4.24,-1710335.12,-7.37,354349.57,24.82,403062.22,1.74,45.96,51.59,282.12,-343155.78,4.24,-262310.31,-2.01,54345.81,24.82,61816.76,0.47,50.05,33.00,50.00,0.00,50.00,50.00,0.00,50.00,51.59,282.12,51.59
1,4,47.43,1035.19,49.14,50.00,0.00,50.00,50.00,0.00,78.00,51.65,1035.19,51.97,51.97,662.52,-2987264.37,4.27,-2286926.44,-7.46,354349.57,24.70,403293.29,1.31,45.83,51.97,372.67,-458150.13,4.27,-350740.85,-2.03,54345.81,24.70,61852.20,0.36,50.29,31.00,50.00,0.00,50.00,50.00,0.00,50.00,51.97,372.67,51.97
1,5,47.43,1178.24,49.00,50.00,0.00,50.00,50.00,0.00,78.00,49.14,1178.24,49.46,49.46,754.08,-3413745.42,4.13,-2586744.25,-7.41,354349.57,25.48,401809.15,1.15,43.20,49.46,424.17,-523558.58,4.13,-396723.24,-2.02,54345.81,25.48,61624.58,0.31,47.75,28.00,50.00,0.00,50.00,50.00,0.00,50.00,49.46,424.17,49.46
1,6,44.84,1229.65,47.15,50.00,0.00,50.00,50.00,0.00,78.00,49.00,1229.65,49.32,49.32,786.97,-3566990.77,4.12,-2701295.91,-7.41,354349.57,25.52,401731.03,1.10,43.01,49.32,442.67,-547061.48,4.12,-414291.78,-2.02,54345.81,25.52,61612.60,0.30,47.60,22.00,50.00,0.00,50.00,50.00,0.00,50.00,49.32,442.67,49.32
1,7,44.66,1234.67,46.99,50.00,0.00,50.00,50.00,0.00,78.00,47.15,1234.67,47.47,47.47,790.19,-3529153.53,4.02,-2651034.05,-7.25,407147.66,26.09,460401.06,1.26,41.48,47.47,444.48,-541258.47,4.02,-406583.23,-1.98,62443.34,26.09,70610.69,0.34,45.84,22.00,50.00,0.00,50.00,50.00,0.00,50.00,47.47,444.48,47.47
1,8,43.05,2080.96,44.53,50.00,0.00,50.00,50.00,0.00,78.00,46.99,2080.96,47.32,47.32,1331.81,-5636692.45,4.01,-4231362.96,-6.86,822570.17,26.13,929973.21,1.51,41.97,47.32,749.15,-864487.05,4.01,-648954.78,-1.87,126155.77,26.13,142627.93,0.41,45.86,22.00,50.00,0.00,50.00,50.00,0.00,50.00,47.32,749.15,47.32
1,9,43.37,2100.00,44.80,50.00,0.00,50.00,50.00,0.00,78.00,44.53,2100.00,44.85,44.85,1344.00,-5748256.17,3.88,-4265095.59,-6.85,937587.74,26.89,1056551.68,1.70,39.70,44.85,756.00,-881597.33,3.88,-654128.28,-1.87,143795.76,26.89,162040.99,0.46,43.45,22.00,50.00,0.00,50.00,50.00,0.00,50.00,44.85,756.00,44.85
